0, 225
0, 222
0, 211
0, 209
0, 204
0, 202
0, 191
0, 176
0, 163
0, 160
0, 149
0, 114
0, 97
0, 80
0, 68
0, 59
0, 58
0, 49
0, 44
0, 24
0, 15
1, 220
1, 203
1, 200
1, 194
1, 189
1, 164
1, 150
1, 130
1, 107
1, 72
2, 141
2, 110
2, 108
2, 86
2, 79
2, 51
2, 42
2, 18
2, 14
3, 241
3, 228
3, 153
3, 115
3, 76
3, 67
3, 45
3, 37
4, 240
4, 239
4, 159
4, 138
4, 128
4, 112
4, 78
4, 77
4, 55
4, 26
4, 5
5, 4
5, 226
5, 217
5, 104
5, 102
5, 77
5, 67
5, 55
5, 32
5, 26
6, 236
6, 178
6, 166
6, 147
6, 140
6, 129
6, 117
6, 99
6, 98
6, 54
6, 16
7, 230
7, 197
7, 188
7, 184
7, 181
7, 157
7, 148
7, 125
7, 101
7, 71
7, 65
7, 57
7, 42
8, 246
8, 244
8, 221
8, 212
8, 210
8, 207
8, 179
8, 152
8, 143
8, 85
8, 82
8, 43
8, 30
8, 11
9, 195
9, 142
9, 114
9, 68
9, 58
9, 33
9, 23
10, 246
10, 175
10, 123
10, 106
10, 105
11, 8
11, 246
11, 244
11, 212
11, 207
11, 175
11, 152
11, 143
11, 85
11, 82
11, 43
11, 30
12, 242
12, 198
12, 182
12, 170
12, 121
12, 113
12, 94
12, 88
12, 41
12, 36
12, 35
12, 28
13, 192
13, 174
13, 162
13, 133
13, 129
13, 103
13, 100
13, 19
14, 2
14, 166
14, 133
14, 129
14, 86
14, 51
14, 18
15, 0
15, 225
15, 222
15, 211
15, 209
15, 204
15, 202
15, 163
15, 149
15, 114
15, 80
15, 66
15, 58
15, 49
15, 39
15, 24
16, 6
16, 236
16, 178
16, 166
16, 147
16, 140
16, 129
16, 117
16, 99
16, 98
16, 54
17, 229
17, 223
17, 182
17, 170
17, 158
17, 134
17, 121
17, 81
17, 41
18, 2
18, 14
18, 141
18, 94
18, 86
18, 51
18, 35
19, 13
19, 243
19, 192
19, 179
19, 174
19, 103
19, 100
19, 84
19, 79
19, 70
20, 247
20, 220
20, 194
20, 190
20, 164
20, 127
20, 116
20, 89
20, 75
20, 40
21, 240
21, 233
21, 230
21, 188
21, 184
21, 138
21, 71
21, 65
21, 62
21, 27
22, 145
22, 120
22, 73
22, 56
22, 53
22, 34
23, 9
23, 222
23, 195
23, 176
23, 114
23, 68
23, 58
23, 33
24, 0
24, 15
24, 225
24, 222
24, 211
24, 209
24, 206
24, 163
24, 149
24, 114
24, 80
24, 66
24, 39
25, 199
25, 111
25, 96
25, 63
25, 60
26, 4
26, 5
26, 240
26, 239
26, 226
